2014-05-13 02:09:12 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Library/WebServer/Documents/svtour/cake/libs/debugger.php, line 697]
2014-05-13 02:09:12 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Library/WebServer/Documents/svtour/cake/libs/debugger.php, line 701]
2014-05-13 23:15:16 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:15:17 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:15:17 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:15:17 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:17:40 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:17:40 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:17:40 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:17:40 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:18:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:18:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:18:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:18:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:26:15 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:26:15 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:26:15 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:26:43 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:26:43 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:26:43 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:27 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:27 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:27 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:27 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:27 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
2014-05-13 23:27:28 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/svtour/svt/views/layouts/default.ctp, line 50]
